Variable,Value
"('V18', 3, 56)",0.0
"('V18', 3, 57)",0.0
"('V18', 3, 58)",0.0
"('V18', 3, 59)",0.0
"('V18', 3, 60)",0.0
"('V18', 3, 61)",0.0
"('V18', 3, 62)",0.0
"('V18', 3, 63)",0.0
"('V18', 3, 64)",0.0
"('V18', 3, 65)",0.0
"('V18', 3, 66)",0.0
"('V18', 3, 67)",0.0
"('V18', 3, 68)",0.0
"('V18', 3, 69)",0.0
"('V18', 3, 70)",0.0
"('V18', 3, 71)",0.0
"('V18', 3, 72)",0.0
"('V18', 4, 1)",0.0
"('V18', 4, 2)",0.0
"('V18', 4, 3)",0.0
"('V18', 4, 4)",0.0
"('V18', 4, 5)",0.0
"('V18', 4, 6)",0.0
"('V18', 4, 7)",0.0
"('V18', 4, 8)",0.0
"('V18', 4, 9)",0.0
"('V18', 4, 10)",0.0
"('V18', 4, 11)",0.0
"('V18', 4, 12)",0.0
"('V18', 4, 13)",0.0
"('V18', 4, 14)",0.0
"('V18', 4, 15)",0.0
"('V18', 4, 16)",0.0
"('V18', 4, 17)",0.0
"('V18', 4, 18)",0.0
"('V18', 4, 19)",0.0
"('V18', 4, 20)",0.0
"('V18', 4, 21)",0.0
"('V18', 4, 22)",0.0
"('V18', 4, 23)",0.0
"('V18', 4, 24)",0.0
"('V18', 4, 25)",0.0
"('V18', 4, 26)",0.0
"('V18', 4, 27)",0.0
"('V18', 4, 28)",0.0
"('V18', 4, 29)",0.0
"('V18', 4, 30)",0.0
"('V18', 4, 31)",0.0
"('V18', 4, 32)",0.0
"('V18', 4, 33)",0.0
"('V18', 4, 34)",0.0
"('V18', 4, 35)",0.0
"('V18', 4, 36)",0.0
"('V18', 4, 37)",0.0
"('V18', 4, 38)",0.0
"('V18', 4, 39)",0.0
"('V18', 4, 40)",0.0
"('V18', 4, 41)",0.0
"('V18', 4, 42)",0.0
"('V18', 4, 43)",0.0
"('V18', 4, 44)",0.0
"('V18', 4, 45)",0.0
"('V18', 4, 46)",0.0
"('V18', 4, 47)",0.0
"('V18', 4, 48)",0.0
"('V18', 4, 49)",0.0
"('V18', 4, 50)",0.0
"('V18', 4, 51)",0.0
"('V18', 4, 52)",0.0
"('V18', 4, 53)",0.0
"('V18', 4, 54)",0.0
