Time,Station,Wharf
06:30,Barangaroo,Bar1
06:43,Blackwattle Bay,BWB1
07:08,Barangaroo,Bar1
07:00,Barangaroo,Bar1
07:13,Blackwattle Bay,BWB1
07:38,Barangaroo,Bar1
07:30,Barangaroo,Bar1
07:43,Blackwattle Bay,BWB1
08:08,Barangaroo,Bar1
08:00,Barangaroo,Bar1
08:13,Blackwattle Bay,BWB1
08:38,Barangaroo,Bar1
08:30,Barangaroo,Bar1
08:43,Blackwattle Bay,BWB1
09:08,Barangaroo,Bar2
09:00,Barangaroo,Bar1
09:13,Blackwattle Bay,BWB1
09:38,Barangaroo,Bar2
09:30,Barangaroo,Bar1
09:43,Blackwattle Bay,BWB1
10:08,Barangaroo,Bar5
