Task,Time,Battery_Level
,05:30,1.0
Rebalancing,05:35,0.9394
Rebalancing,05:40,0.8788
BSY3,05:45,0.8788
Rebalancing,05:50,0.8182
Rebalancing,05:55,0.7576
phi_Bar2,06:00,0.8856
phi_Bar2,06:05,1.0
Rebalancing,06:10,0.9394
Rebalancing,06:15,0.8788
phi_CQ5,06:20,1.0
Rebalancing,06:25,0.9394
Rebalancing,06:30,0.8788
phi_Bar2,06:35,1.0
Bar2,06:40,1.0
phi_Bar2,06:45,1.0
Bar2,06:50,1.0
phi_Bar2,06:55,1.0
Rebalancing,07:00,0.9394
Rebalancing,07:05,0.8788
phi_CQEXTRA1,07:10,1.0
Rebalancing,07:15,0.9394
Rebalancing,07:20,0.8788
Rebalancing,07:25,0.8182
BSY4,07:30,0.8182
Rebalancing,07:35,0.7576
Rebalancing,07:40,0.6970000000000001
Rebalancing,07:45,0.6364000000000001
5 cont.,07:50,0.6304000000000001
5 cont.,07:55,0.6244000000000001
5 cont.,08:00,0.6184000000000001
5 cont.,08:05,0.6124
5 cont.,08:10,0.6064
5 cont.,08:15,0.6004
5 cont.,08:20,0.5944
5 cont.,08:25,0.5884
5 cont.,08:30,0.5824
5 cont.,08:35,0.5764
phi_CQ2,08:40,0.7044
phi_CQ2,08:45,0.8324
6 cont.,08:50,0.8184
6 cont.,08:55,0.8044
6 cont.,09:00,0.7904
6 cont.,09:05,0.7764
6 cont.,09:10,0.7624
6 cont.,09:15,0.7484
6 cont.,09:20,0.7343999999999999
6 cont.,09:25,0.7203999999999999
6 cont.,09:30,0.7063999999999999
6 cont.,09:35,0.6923999999999999
6 cont.,09:40,0.6783999999999999
6 cont.,09:45,0.6643999999999999
6 cont.,09:50,0.6503999999999999
6 cont.,09:55,0.6363999999999999
6 cont.,10:00,0.6223999999999998
phi_CQEXTRA1,10:05,0.7503999999999998
4 cont.,10:10,0.7443999999999998
4 cont.,10:15,0.7383999999999998
4 cont.,10:20,0.7323999999999998
4 cont.,10:25,0.7263999999999998
4 cont.,10:30,0.7203999999999998
4 cont.,10:35,0.7143999999999998
4 cont.,10:40,0.7083999999999998
4 cont.,10:45,0.7023999999999998
4 cont.,10:50,0.6963999999999998
4 cont.,10:55,0.6903999999999998
4 cont.,11:00,0.6843999999999998
cp_CQ4 cont.,11:05,0.6843999999999998
cp_CQ4 cont.,11:10,0.6843999999999998
cp_CQ4 cont.,11:15,0.6843999999999998
cp_CQ4 cont.,11:20,0.6843999999999998
cp_CQ4 cont.,11:25,0.6843999999999998
cp_CQ4 cont.,11:30,0.6843999999999998
