Variable,Value
"(1, 'CQEXTRA2', 8)",0.0
"(1, 'CQEXTRA2', 9)",0.0
"(1, 'CQEXTRA2', 10)",0.0
"(1, 'CQEXTRA2', 11)",0.0
"(1, 'CQEXTRA2', 12)",0.0
"(1, 'CQEXTRA2', 13)",0.0
"(1, 'CQEXTRA2', 14)",0.0
"(1, 'CQEXTRA2', 15)",0.0
"(1, 'CQEXTRA2', 16)",0.0
"(1, 'CQEXTRA2', 17)",0.0
"(1, 'CQEXTRA2', 18)",0.0
"(1, 'CQEXTRA2', 19)",0.0
"(1, 'CQEXTRA2', 20)",0.0
"(1, 'CQEXTRA2', 21)",0.0
"(1, 'CQEXTRA2', 22)",0.0
"(1, 'CQEXTRA2', 23)",0.0
"(1, 'CQEXTRA2', 24)",0.0
"(1, 'CQEXTRA2', 25)",0.0
"(1, 'CQEXTRA2', 26)",0.0
"(1, 'CQEXTRA2', 27)",0.0
"(1, 'CQEXTRA2', 28)",0.0
"(1, 'CQEXTRA2', 29)",0.0
"(1, 'CQEXTRA2', 30)",0.0
"(1, 'CQEXTRA2', 31)",0.0
"(1, 'CQEXTRA2', 32)",0.0
"(1, 'CQEXTRA2', 33)",0.0
"(1, 'CQEXTRA2', 34)",0.0
"(1, 'CQEXTRA2', 35)",0.0
"(1, 'CQEXTRA2', 36)",0.0
"(1, 'CQEXTRA2', 37)",0.0
"(1, 'CQEXTRA2', 38)",0.0
"(1, 'CQEXTRA2', 39)",0.0
"(1, 'CQEXTRA2', 40)",0.0
"(1, 'CQEXTRA2', 41)",0.0
"(1, 'CQEXTRA2', 42)",0.0
"(1, 'CQEXTRA2', 43)",0.0
"(1, 'CQEXTRA2', 44)",0.0
"(1, 'CQEXTRA2', 45)",0.0
"(1, 'CQEXTRA2', 46)",0.0
"(1, 'CQEXTRA2', 47)",0.0
"(1, 'CQEXTRA2', 48)",0.0
"(1, 'CQEXTRA2', 49)",0.0
"(1, 'CQEXTRA2', 50)",0.0
"(1, 'CQEXTRA2', 51)",0.0
"(1, 'CQEXTRA2', 52)",0.0
"(1, 'CQEXTRA2', 53)",0.0
"(1, 'CQEXTRA2', 54)",0.0
"(1, 'CQEXTRA2', 55)",0.0
"(1, 'CQEXTRA2', 56)",0.0
"(1, 'CQEXTRA2', 57)",1.0
"(1, 'CQEXTRA2', 58)",0.0
"(1, 'CQEXTRA2', 59)",0.0
"(1, 'CQEXTRA2', 60)",0.0
"(1, 'CQEXTRA2', 61)",0.0
"(1, 'CQEXTRA2', 62)",0.0
"(1, 'CQEXTRA2', 63)",0.0
"(1, 'CQEXTRA2', 64)",0.0
"(1, 'CQEXTRA2', 65)",0.0
"(1, 'CQEXTRA2', 66)",0.0
"(1, 'CQEXTRA2', 67)",0.0
"(1, 'CQEXTRA2', 68)",0.0
"(1, 'CQEXTRA2', 69)",0.0
"(1, 'CQEXTRA2', 70)",0.0
"(1, 'CQEXTRA2', 71)",0.0
"(1, 'CQEXTRA2', 72)",0.0
"(1, 'CQ4', 1)",0.0
"(1, 'CQ4', 2)",0.0
"(1, 'CQ4', 3)",0.0
"(1, 'CQ4', 4)",0.0
"(1, 'CQ4', 5)",0.0
"(1, 'CQ4', 6)",0.0
"(1, 'CQ4', 7)",0.0
"(1, 'CQ4', 8)",0.0
"(1, 'CQ4', 9)",0.0
"(1, 'CQ4', 10)",0.0
"(1, 'CQ4', 11)",0.0
"(1, 'CQ4', 12)",0.0
"(1, 'CQ4', 13)",0.0
"(1, 'CQ4', 14)",0.0
"(1, 'CQ4', 15)",0.0
"(1, 'CQ4', 16)",0.0
"(1, 'CQ4', 17)",0.0
"(1, 'CQ4', 18)",0.0
