Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
V2,Crew pause,Barangaroo,Bar4,05:35,Barangaroo,Bar4,06:05
V2,Waiting,Circular Quay,CQ4,06:15,Circular Quay,CQ4,06:20
V2,Waiting,Circular Quay,CQ4,06:20,Circular Quay,CQ4,06:25
V2,F2 - Zoo/Mosman (Peak),Circular Quay,CQ1,06:25,Circular Quay,CQ4,07:17
V2,Waiting,Circular Quay,CQ4,07:20,Circular Quay,CQ4,07:25
V2,F7 - Double Bay,Circular Quay,CQ1,07:25,Circular Quay,CQ1,08:15
V2,Waiting,Circular Quay,CQ2,08:15,Circular Quay,CQ2,08:20
V2,F5 - Neutral Bay,Circular Quay,CQ1,08:20,Circular Quay,CQ4,08:50
V2,Waiting,Circular Quay,CQ4,08:50,Circular Quay,CQ4,08:55
V2,F7 - Double Bay,Circular Quay,CQ1,08:55,Circular Quay,CQ4,09:45
V2,Waiting,Circular Quay,CQ5,09:45,Circular Quay,CQ5,09:50
V2,F8 - Cockatoo Island,Circular Quay,CQ1,09:50,Circular Quay,CQ4,11:02
V2,Waiting,Taronga Zoo,TZ1,11:20,Taronga Zoo,TZ1,11:25
V2,Waiting,Taronga Zoo,TZ1,11:25,Taronga Zoo,TZ1,11:30
