Time,Station,Wharf
06:15,Barangaroo,Bar5
06:37,Blackwattle Bay,BWB1
07:08,Barangaroo,Bar2
06:45,Barangaroo,Bar5
07:07,Blackwattle Bay,BWB1
07:38,Barangaroo,Bar1
07:15,Barangaroo,Bar5
07:37,Blackwattle Bay,BWB1
08:08,Barangaroo,Bar5
07:45,Barangaroo,Bar5
08:07,Blackwattle Bay,BWB1
08:38,Barangaroo,Bar5
08:15,Barangaroo,Bar5
08:37,Blackwattle Bay,BWB1
09:08,Barangaroo,Bar4
08:45,Barangaroo,Bar5
09:07,Blackwattle Bay,BWB1
09:38,Barangaroo,Bar4
09:15,Barangaroo,Bar5
09:37,Blackwattle Bay,BWB1
10:08,Barangaroo,Bar5
