Time,Station,Wharf
06:05,Circular Quay,CQ4
06:24,Double Bay,DB1
06:52,Circular Quay,CQ2
06:35,Circular Quay,CQ4
06:54,Double Bay,DB1
07:22,Circular Quay,CQ1
07:05,Circular Quay,CQ4
07:24,Double Bay,DB1
07:52,Circular Quay,CQ5
07:35,Circular Quay,CQ4
07:54,Double Bay,DB1
08:22,Circular Quay,CQ1
08:05,Circular Quay,CQ4
08:24,Double Bay,DB1
08:52,Circular Quay,CQ4
08:35,Circular Quay,CQ4
08:54,Double Bay,DB1
09:22,Circular Quay,CQ4
09:05,Circular Quay,CQ4
09:24,Double Bay,DB1
09:52,Circular Quay,CQ4
09:35,Circular Quay,CQ4
09:54,Double Bay,DB1
10:22,Circular Quay,CQ3
10:05,Circular Quay,CQ4
10:24,Double Bay,DB1
10:52,Circular Quay,CQ5
