Wharf,Berth,Wharf_No
Circular Quay,-,CQEXTRA1
Circular Quay,-,CQEXTRA1
Circular Quay,-,CQEXTRA2
Circular Quay,-,CQEXTRA2
Circular Quay,2A,CQ2
Circular Quay,2B,CQ2
Circular Quay,4A,CQ4
Circular Quay,4B,CQ4
Circular Quay,5A,CQ5
Circular Quay,5B,CQ5
Barangaroo,1A,Bar1
Barangaroo,1B,Bar1
Barangaroo,2A,Bar2
Barangaroo,2B,Bar2
