Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
V18,Waiting,Balmain Shipyard,BSY2,05:35,Balmain Shipyard,BSY2,05:40
V18,Crew Break,Balmain Shipyard,BSY1,05:40,Balmain Shipyard,BSY1,06:10
V18,Charging,Barangaroo,Bar2,06:20,Barangaroo,Bar2,06:25
V18,Charging,Barangaroo,Bar2,06:25,Barangaroo,Bar2,06:30
V18,Charging,Barangaroo,Bar2,06:30,Barangaroo,Bar2,06:35
V18,Charging,Barangaroo,Bar2,06:35,Barangaroo,Bar2,06:40
V18,Charging,Barangaroo,Bar2,06:40,Barangaroo,Bar2,06:45
V18,F11 - Blackwattle Bay,Barangaroo,Bar5,06:45,Barangaroo,Bar1,07:41
V18,F11 - Blackwattle Bay,Barangaroo,Bar5,07:45,Barangaroo,Bar2,08:41
V18,F11 - Blackwattle Bay,Barangaroo,Bar5,08:45,Barangaroo,Bar2,09:41
V18,Charging,Barangaroo,Bar2,09:45,Barangaroo,Bar2,09:50
V18,Charging,Barangaroo,Bar2,09:50,Barangaroo,Bar2,09:55
V18,Crew Break,Barangaroo,Bar2,09:55,Barangaroo,Bar2,10:25
V18,Waiting,Barangaroo,Bar4,10:25,Barangaroo,Bar4,10:30
V18,Waiting,Barangaroo,Bar4,10:30,Barangaroo,Bar4,10:35
V18,Waiting,Barangaroo,Bar4,10:35,Barangaroo,Bar4,10:40
V18,Waiting,Barangaroo,Bar4,10:40,Barangaroo,Bar4,10:45
V18,Crew Break,Barangaroo,Bar5,10:45,Barangaroo,Bar5,11:15
V18,Charging,Barangaroo,Bar1,11:15,Barangaroo,Bar1,11:20
V18,Charging,Barangaroo,Bar1,11:20,Barangaroo,Bar1,11:25
V18,Charging,Barangaroo,Bar1,11:25,Barangaroo,Bar1,11:30
