Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
V3,Waiting,Barangaroo,Bar5,05:35,Barangaroo,Bar5,05:40
V3,Charging,Circular Quay,CQ2,05:50,Circular Quay,CQ2,05:55
V3,F5 - Neutral Bay,Circular Quay,CQ2,05:55,Circular Quay,CQ1,06:25
V3,F7 - Double Bay,Circular Quay,CQ1,06:25,Circular Quay,CQ1,07:15
V3,Charging,Circular Quay,CQ4,07:15,Circular Quay,CQ4,07:20
V3,Charging,Circular Quay,CQ4,07:20,Circular Quay,CQ4,07:25
V3,F5 - Neutral Bay,Circular Quay,CQ2,07:25,Circular Quay,CQ4,07:55
V3,F7 - Double Bay,Circular Quay,CQ1,07:55,Circular Quay,CQ1,08:45
V3,F2 - Taronga Zoo (off peak),Circular Quay,CQ1,08:45,Circular Quay,CQ5,09:25
V3,F5 - Neutral Bay,Circular Quay,CQ2,09:25,Circular Quay,CQ3,09:55
V3,Charging,Circular Quay,CQ5,09:55,Circular Quay,CQ5,10:00
V3,Charging,Circular Quay,CQ5,10:00,Circular Quay,CQ5,10:05
V3,Charging,Circular Quay,CQ5,10:05,Circular Quay,CQ5,10:10
V3,Charging,Circular Quay,CQ5,10:10,Circular Quay,CQ5,10:15
V3,Charging,Barangaroo,Bar1,10:25,Barangaroo,Bar1,10:30
V3,Charging,Barangaroo,Bar1,10:30,Barangaroo,Bar1,10:35
V3,Charging,Barangaroo,Bar1,10:35,Barangaroo,Bar1,10:40
V3,Charging,Barangaroo,Bar1,10:40,Barangaroo,Bar1,10:45
V3,Charging,Barangaroo,Bar1,10:45,Barangaroo,Bar1,10:50
V3,Crew Break,Barangaroo,Bar4,10:50,Barangaroo,Bar4,11:20
V3,Waiting,Barangaroo,Bar4,11:20,Barangaroo,Bar4,11:25
V3,Waiting,Barangaroo,Bar4,11:25,Barangaroo,Bar4,11:30
