Time,Station,Wharf
06:35,Barangaroo,Bar4
06:57,Blackwattle Bay,BWB1
07:28,Barangaroo,Bar2
07:05,Barangaroo,Bar4
07:27,Blackwattle Bay,BWB1
07:58,Barangaroo,Bar1
07:35,Barangaroo,Bar4
07:57,Blackwattle Bay,BWB1
08:28,Barangaroo,Bar2
08:05,Barangaroo,Bar4
08:27,Blackwattle Bay,BWB1
08:58,Barangaroo,Bar2
08:35,Barangaroo,Bar4
08:57,Blackwattle Bay,BWB1
09:28,Barangaroo,Bar1
09:05,Barangaroo,Bar4
09:27,Blackwattle Bay,BWB1
09:58,Barangaroo,Bar1
09:35,Barangaroo,Bar4
09:57,Blackwattle Bay,BWB1
10:28,Barangaroo,Bar1
