Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
V7,Crew Break,Barangaroo,Bar1,05:35,Barangaroo,Bar1,06:05
V7,Charging,Circular Quay,CQ4,06:15,Circular Quay,CQ4,06:20
V7,Charging,Circular Quay,CQ4,06:20,Circular Quay,CQ4,06:25
V7,Charging,Barangaroo,Bar2,06:35,Barangaroo,Bar2,06:40
V7,F5 - Neutral Bay,Circular Quay,CQEXTRA1,06:50,Circular Quay,CQ5,07:20
V7,Charging,Circular Quay,CQ5,07:20,Circular Quay,CQ5,07:25
V7,F2 - Zoo/Mosman (Peak),Circular Quay,CQ5,07:25,Circular Quay,CQEXTRA2,08:17
V7,Charging,Circular Quay,CQEXTRA2,08:20,Circular Quay,CQEXTRA2,08:25
V7,F6 - Mosman (peak),Circular Quay,CQEXTRA2,08:25,Circular Quay,CQEXTRA2,09:16
V7,F8 - Cockatoo Island,Circular Quay,CQEXTRA2,09:20,Circular Quay,CQEXTRA2,10:32
V7,Charging,Circular Quay,CQEXTRA2,10:35,Circular Quay,CQEXTRA2,10:40
V7,Charging,Barangaroo,Bar1,10:50,Barangaroo,Bar1,10:55
V7,Charging,Barangaroo,Bar1,10:55,Barangaroo,Bar1,11:00
V7,Charging,Barangaroo,Bar1,11:00,Barangaroo,Bar1,11:05
V7,Charging,Circular Quay,CQEXTRA2,11:15,Circular Quay,CQEXTRA2,11:20
V7,Charging,Circular Quay,CQEXTRA2,11:20,Circular Quay,CQEXTRA2,11:25
V7,Charging,Circular Quay,CQEXTRA2,11:25,Circular Quay,CQEXTRA2,11:30
