Task,Time,Battery_Level
,05:30,1.0
Rebalancing,05:35,0.9394
Rebalancing,05:40,0.8788
PB1,05:45,0.8788
Rebalancing,05:50,0.8182
cp_Bar1 cont.,05:55,0.8182
cp_Bar1 cont.,06:00,0.8182
cp_Bar1 cont.,06:05,0.8182
cp_Bar1 cont.,06:10,0.8182
cp_Bar1 cont.,06:15,0.8182
cp_Bar1 cont.,06:20,0.8182
Rebalancing,06:25,0.7576
PB1,06:30,0.7576
Rebalancing,06:35,0.6970000000000001
Rebalancing,06:40,0.6364000000000001
Rebalancing,06:45,0.5758000000000001
5 cont.,06:50,0.5698000000000001
5 cont.,06:55,0.5638000000000001
5 cont.,07:00,0.5578000000000001
5 cont.,07:05,0.5518000000000001
5 cont.,07:10,0.5458000000000001
5 cont.,07:15,0.5398000000000001
5 cont.,07:20,0.5338
5 cont.,07:25,0.5278
5 cont.,07:30,0.5218
5 cont.,07:35,0.5158
phi_CQ4,07:40,0.6438
phi_CQ4,07:45,0.7718
6 cont.,07:50,0.7578
6 cont.,07:55,0.7438
6 cont.,08:00,0.7298
6 cont.,08:05,0.7158
6 cont.,08:10,0.7018
6 cont.,08:15,0.6878
6 cont.,08:20,0.6738
6 cont.,08:25,0.6597999999999999
6 cont.,08:30,0.6457999999999999
6 cont.,08:35,0.6317999999999999
6 cont.,08:40,0.6177999999999999
6 cont.,08:45,0.6037999999999999
6 cont.,08:50,0.5897999999999999
6 cont.,08:55,0.5757999999999999
6 cont.,09:00,0.5617999999999999
phi_CQEXTRA2,09:05,0.6897999999999999
CQEXTRA2,09:10,0.8497999999999999
phi_CQEXTRA2,09:15,0.9777999999999999
5 cont.,09:20,0.9717999999999999
5 cont.,09:25,0.9657999999999999
5 cont.,09:30,0.9597999999999999
5 cont.,09:35,0.9537999999999999
5 cont.,09:40,0.9477999999999999
5 cont.,09:45,0.9417999999999999
5 cont.,09:50,0.9357999999999999
5 cont.,09:55,0.9297999999999998
5 cont.,10:00,0.9237999999999998
5 cont.,10:05,0.9177999999999998
Rebalancing,10:10,0.8571999999999999
Rebalancing,10:15,0.7965999999999999
Rebalancing,10:20,0.7359999999999999
BSY6,10:25,0.7359999999999999
Rebalancing,10:30,0.6753999999999999
Rebalancing,10:35,0.6147999999999999
Rebalancing,10:40,0.5541999999999999
phi_CQ4,10:45,0.6821999999999999
phi_CQ4,10:50,0.8101999999999999
Rebalancing,10:55,0.7495999999999999
Rebalancing,11:00,0.689
phi_Bar2,11:05,0.817
Rebalancing,11:10,0.7564
Rebalancing,11:15,0.6958
BSY1,11:20,0.6958
BSY1,11:25,0.6958
BSY1,11:30,0.6958
