Task,Time,Battery_Level
,05:30,1.0
Rebalancing,05:35,0.9394
phi_Bar1,05:40,1.0
Rebalancing,05:45,0.9394
Rebalancing,05:50,0.8788
phi_CQ4,05:55,1.0
Rebalancing,06:00,0.9394
Rebalancing,06:05,0.8788
Rebalancing,06:10,0.8182
PB1,06:15,0.8182
Rebalancing,06:20,0.7576
phi_Bar1,06:25,0.8856
phi_Bar1,06:30,1.0
phi_Bar1,06:35,1.0
Bar1,06:40,1.0
Bar1,06:45,1.0
phi_Bar1,06:50,1.0
Rebalancing,06:55,0.9394
Rebalancing,07:00,0.8788
10 cont.,07:05,0.8718
10 cont.,07:10,0.8648
10 cont.,07:15,0.8578
10 cont.,07:20,0.8508
10 cont.,07:25,0.8438
10 cont.,07:30,0.8368
10 cont.,07:35,0.8298
10 cont.,07:40,0.8228
10 cont.,07:45,0.8158
10 cont.,07:50,0.8088
10 cont.,07:55,0.8018
phi_CQ2,08:00,0.9298
11 cont.,08:05,0.9248
11 cont.,08:10,0.9198
11 cont.,08:15,0.9148
11 cont.,08:20,0.9097999999999999
11 cont.,08:25,0.9047999999999999
11 cont.,08:30,0.8997999999999999
11 cont.,08:35,0.8947999999999999
11 cont.,08:40,0.8897999999999999
11 cont.,08:45,0.8847999999999999
11 cont.,08:50,0.8797999999999999
11 cont.,08:55,0.8747999999999999
phi_CQEXTRA1,09:00,1.0
3 cont.,09:05,0.965
3 cont.,09:10,0.9299999999999999
3 cont.,09:15,0.8949999999999999
3 cont.,09:20,0.8599999999999999
3 cont.,09:25,0.8249999999999998
3 cont.,09:30,0.7899999999999998
3 cont.,09:35,0.7549999999999998
3 cont.,09:40,0.7199999999999998
3 cont.,09:45,0.6849999999999997
3 cont.,09:50,0.6499999999999997
3 cont.,09:55,0.6149999999999997
3 cont.,10:00,0.5799999999999996
phi_CQ4,10:05,0.7079999999999996
phi_CQ4,10:10,0.8359999999999996
Rebalancing,10:15,0.7753999999999996
Rebalancing,10:20,0.7147999999999997
phi_Bar2,10:25,0.8427999999999997
phi_Bar2,10:30,0.9707999999999997
Rebalancing,10:35,0.9101999999999997
PB1,10:40,0.9101999999999997
PB1,10:45,0.9101999999999997
Rebalancing,10:50,0.8495999999999997
Rebalancing,10:55,0.7889999999999997
cp_BSY2 cont.,11:00,0.7889999999999997
cp_BSY2 cont.,11:05,0.7889999999999997
cp_BSY2 cont.,11:10,0.7889999999999997
cp_BSY2 cont.,11:15,0.7889999999999997
cp_BSY2 cont.,11:20,0.7889999999999997
cp_BSY2 cont.,11:25,0.7889999999999997
BSY2,11:30,0.7889999999999997
