Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
V9,Waiting,Pyrmont Bay,PB1,05:40,Pyrmont Bay,PB1,05:45
V9,Crew Break,Barangaroo,Bar1,05:50,Barangaroo,Bar1,06:20
V9,Waiting,Pyrmont Bay,PB1,06:25,Pyrmont Bay,PB1,06:30
V9,F7 - Double Bay,Circular Quay,CQEXTRA2,06:45,Circular Quay,CQ2,07:35
V9,Charging,Circular Quay,CQ4,07:35,Circular Quay,CQ4,07:40
V9,Charging,Circular Quay,CQ4,07:40,Circular Quay,CQ4,07:45
V9,F8 - Cockatoo Island,Circular Quay,CQ5,07:45,Circular Quay,CQEXTRA2,08:57
V9,Charging,Circular Quay,CQEXTRA2,09:00,Circular Quay,CQEXTRA2,09:05
V9,Charging,Circular Quay,CQEXTRA2,09:05,Circular Quay,CQEXTRA2,09:10
V9,Charging,Circular Quay,CQEXTRA2,09:10,Circular Quay,CQEXTRA2,09:15
V9,F7 - Double Bay,Circular Quay,CQEXTRA2,09:15,Circular Quay,CQ5,10:05
V9,Waiting,Balmain Shipyard,BSY6,10:20,Balmain Shipyard,BSY6,10:25
V9,Charging,Circular Quay,CQ4,10:40,Circular Quay,CQ4,10:45
V9,Charging,Circular Quay,CQ4,10:45,Circular Quay,CQ4,10:50
V9,Charging,Barangaroo,Bar2,11:00,Barangaroo,Bar2,11:05
V9,Waiting,Balmain Shipyard,BSY1,11:15,Balmain Shipyard,BSY1,11:20
V9,Waiting,Balmain Shipyard,BSY1,11:20,Balmain Shipyard,BSY1,11:25
V9,Waiting,Balmain Shipyard,BSY1,11:25,Balmain Shipyard,BSY1,11:30
