Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
V13,Waiting,Barangaroo,Bar5,05:35,Barangaroo,Bar5,05:40
V13,Crew Break,Circular Quay,CQ4,05:50,Circular Quay,CQ4,06:20
V13,F4 - Pyrmont Bay,Circular Quay,CQ4,06:20,Circular Quay,CQ4,07:28
V13,Charging,Circular Quay,CQ4,07:30,Circular Quay,CQ4,07:35
V13,F9 - Rose Bay,Circular Quay,CQEXTRA2,07:35,Circular Quay,CQ4,08:16
V13,F4 - Pyrmont Bay,Circular Quay,CQ4,08:20,Circular Quay,CQ2,09:28
V13,Charging,Circular Quay,CQ2,09:30,Circular Quay,CQ2,09:35
V13,Charging,Circular Quay,CQ2,09:35,Circular Quay,CQ2,09:40
V13,Charging,Circular Quay,CQ2,09:40,Circular Quay,CQ2,09:45
V13,Charging,Circular Quay,CQ2,09:45,Circular Quay,CQ2,09:50
V13,Charging,Circular Quay,CQ2,09:50,Circular Quay,CQ2,09:55
V13,Charging,Circular Quay,CQ2,09:55,Circular Quay,CQ2,10:00
V13,Charging,Circular Quay,CQ2,10:00,Circular Quay,CQ2,10:05
V13,F9 - Watsons Bay,Circular Quay,CQ2,10:05,Circular Quay,CQ4,11:07
V13,Charging,Circular Quay,CQ4,11:10,Circular Quay,CQ4,11:15
V13,Charging,Barangaroo,Bar2,11:25,Barangaroo,Bar2,11:30
