Variable,Value
"('10M', 3, 56)",0.0
"('10M', 3, 57)",0.0
"('10M', 3, 58)",0.0
"('10M', 3, 59)",0.0
"('10M', 3, 60)",0.0
"('10M', 3, 61)",0.0
"('10M', 3, 62)",0.0
"('10M', 3, 63)",0.0
"('10M', 3, 64)",0.0
"('10M', 3, 65)",0.0
"('10M', 3, 66)",0.0
"('10M', 3, 67)",0.0
"('10M', 3, 68)",0.0
"('10M', 3, 69)",0.0
"('10M', 3, 70)",0.0
"('10M', 3, 71)",0.0
"('10M', 3, 72)",0.0
"('10M', 4, 1)",0.0
"('10M', 4, 2)",0.0
"('10M', 4, 3)",0.0
"('10M', 4, 4)",0.0
"('10M', 4, 5)",0.0
"('10M', 4, 6)",0.0
"('10M', 4, 7)",0.0
"('10M', 4, 8)",0.0
"('10M', 4, 9)",0.0
"('10M', 4, 10)",0.0
"('10M', 4, 11)",0.0
"('10M', 4, 12)",0.0
"('10M', 4, 13)",0.0
"('10M', 4, 14)",0.0
"('10M', 4, 15)",0.0
"('10M', 4, 16)",0.0
"('10M', 4, 17)",0.0
"('10M', 4, 18)",0.0
"('10M', 4, 19)",0.0
"('10M', 4, 20)",0.0
"('10M', 4, 21)",0.0
"('10M', 4, 22)",0.0
"('10M', 4, 23)",0.0
"('10M', 4, 24)",0.0
"('10M', 4, 25)",0.0
"('10M', 4, 26)",0.0
"('10M', 4, 27)",0.0
"('10M', 4, 28)",0.0
"('10M', 4, 29)",0.0
"('10M', 4, 30)",0.0
"('10M', 4, 31)",0.0
"('10M', 4, 32)",0.0
"('10M', 4, 33)",0.0
"('10M', 4, 34)",0.0
"('10M', 4, 35)",0.0
"('10M', 4, 36)",0.0
"('10M', 4, 37)",0.0
"('10M', 4, 38)",0.0
"('10M', 4, 39)",0.0
"('10M', 4, 40)",0.0
"('10M', 4, 41)",0.0
"('10M', 4, 42)",0.0
"('10M', 4, 43)",0.0
"('10M', 4, 44)",0.0
"('10M', 4, 45)",0.0
"('10M', 4, 46)",0.0
"('10M', 4, 47)",0.0
"('10M', 4, 48)",0.0
"('10M', 4, 49)",0.0
"('10M', 4, 50)",0.0
"('10M', 4, 51)",0.0
"('10M', 4, 52)",0.0
"('10M', 4, 53)",0.0
"('10M', 4, 54)",0.0
"('10M', 4, 55)",0.0
"('10M', 4, 56)",0.0
"('10M', 4, 57)",0.0
"('10M', 4, 58)",0.0
"('10M', 4, 59)",0.0
"('10M', 4, 60)",0.0
"('10M', 4, 61)",0.0
"('10M', 4, 62)",0.0
"('10M', 4, 63)",0.0
"('10M', 4, 64)",0.0
"('10M', 4, 65)",0.0
"('10M', 4, 66)",0.0
"('10M', 4, 67)",0.0
"('10M', 4, 68)",0.0
"('10M', 4, 69)",0.0
"('10M', 4, 70)",0.0
"('10M', 4, 71)",0.0
"('10M', 4, 72)",0.0
"('10M', 5, 1)",0.0
"('10M', 5, 2)",0.0
"('10M', 5, 3)",0.0
"('10M', 5, 4)",0.0
"('10M', 5, 5)",0.0
"('10M', 5, 6)",0.0
"('10M', 5, 7)",0.0
"('10M', 5, 8)",0.0
"('10M', 5, 9)",0.0
"('10M', 5, 10)",0.0
"('10M', 5, 11)",0.0
"('10M', 5, 12)",0.0
"('10M', 5, 13)",0.0
"('10M', 5, 14)",0.0
"('10M', 5, 15)",0.0
"('10M', 5, 16)",0.0
"('10M', 5, 17)",0.0
"('10M', 5, 18)",0.0
"('10M', 5, 19)",0.0
"('10M', 5, 20)",0.0
"('10M', 5, 21)",0.0
"('10M', 5, 22)",0.0
"('10M', 5, 23)",0.0
"('10M', 5, 24)",0.0
"('10M', 5, 25)",0.0
"('10M', 5, 26)",0.0
"('10M', 5, 27)",0.0
"('10M', 5, 28)",0.0
"('10M', 5, 29)",0.0
"('10M', 5, 30)",0.0
"('10M', 5, 31)",0.0
"('10M', 5, 32)",0.0
"('10M', 5, 33)",0.0
"('10M', 5, 34)",0.0
"('10M', 5, 35)",0.0
"('10M', 5, 36)",0.0
"('10M', 5, 37)",0.0
"('10M', 5, 38)",0.0
"('10M', 5, 39)",0.0
"('10M', 5, 40)",0.0
"('10M', 5, 41)",0.0
"('10M', 5, 42)",0.0
"('10M', 5, 43)",0.0
"('10M', 5, 44)",0.0
"('10M', 5, 45)",0.0
"('10M', 5, 46)",0.0
"('10M', 5, 47)",0.0
"('10M', 5, 48)",0.0
"('10M', 5, 49)",0.0
"('10M', 5, 50)",0.0
"('10M', 5, 51)",0.0
"('10M', 5, 52)",0.0
"('10M', 5, 53)",0.0
"('10M', 5, 54)",0.0
"('10M', 5, 55)",0.0
"('10M', 5, 56)",0.0
"('10M', 5, 57)",0.0
"('10M', 5, 58)",0.0
"('10M', 5, 59)",0.0
"('10M', 5, 60)",0.0
"('10M', 5, 61)",0.0
"('10M', 5, 62)",0.0
"('10M', 5, 63)",0.0
"('10M', 5, 64)",0.0
"('10M', 5, 65)",0.0
"('10M', 5, 66)",0.0
"('10M', 5, 67)",0.0
"('10M', 5, 68)",0.0
"('10M', 5, 69)",0.0
"('10M', 5, 70)",0.0
"('10M', 5, 71)",0.0
"('10M', 5, 72)",0.0
"('10M', 6, 1)",0.0
"('10M', 6, 2)",0.0
"('10M', 6, 3)",0.0
"('10M', 6, 4)",0.0
"('10M', 6, 5)",0.0
"('10M', 6, 6)",0.0
"('10M', 6, 7)",0.0
"('10M', 6, 8)",0.0
"('10M', 6, 9)",0.0
"('10M', 6, 10)",0.0
"('10M', 6, 11)",0.0
"('10M', 6, 12)",0.0
"('10M', 6, 13)",0.0
"('10M', 6, 14)",0.0
"('10M', 6, 15)",0.0
"('10M', 6, 16)",0.0
"('10M', 6, 17)",0.0
"('10M', 6, 18)",0.0
"('10M', 6, 19)",0.0
"('10M', 6, 20)",0.0
"('10M', 6, 21)",0.0
"('10M', 6, 22)",0.0
"('10M', 6, 23)",0.0
"('10M', 6, 24)",0.0
"('10M', 6, 25)",0.0
"('10M', 6, 26)",0.0
"('10M', 6, 27)",0.0
"('10M', 6, 28)",0.0
"('10M', 6, 29)",0.0
"('10M', 6, 30)",0.0
"('10M', 6, 31)",0.0
"('10M', 6, 32)",0.0
"('10M', 6, 33)",0.0
"('10M', 6, 34)",0.0
"('10M', 6, 35)",0.0
"('10M', 6, 36)",0.0
"('10M', 6, 37)",0.0
"('10M', 6, 38)",0.0
"('10M', 6, 39)",0.0
"('10M', 6, 40)",0.0
"('10M', 6, 41)",0.0
"('10M', 6, 42)",0.0
"('10M', 6, 43)",0.0
"('10M', 6, 44)",0.0
"('10M', 6, 45)",0.0
"('10M', 6, 46)",0.0
"('10M', 6, 47)",0.0
"('10M', 6, 48)",0.0
"('10M', 6, 49)",0.0
"('10M', 6, 50)",0.0
"('10M', 6, 51)",0.0
"('10M', 6, 52)",0.0
