Variable,Value
"(1, 'Mos1', 169)",0.0
"(1, 'Mos1', 170)",0.0
"(1, 'Mos1', 171)",0.0
"(1, 'Mos1', 172)",0.0
"(1, 'Mos1', 173)",0.0
"(1, 'Mos1', 174)",0.0
"(1, 'Mos1', 175)",0.0
"(1, 'Mos1', 176)",0.0
"(1, 'Mos1', 177)",0.0
"(1, 'Mos1', 178)",0.0
"(1, 'Mos1', 179)",0.0
"(1, 'Mos1', 180)",0.0
"(1, 'Mos1', 181)",0.0
"(1, 'Mos1', 182)",0.0
"(1, 'Mos1', 183)",0.0
"(1, 'Mos1', 184)",0.0
"(1, 'Mos1', 185)",0.0
"(1, 'Mos1', 186)",0.0
"(1, 'Mos1', 187)",0.0
"(1, 'Mos1', 188)",0.0
"(1, 'Mos1', 189)",0.0
"(1, 'Mos1', 190)",0.0
"(1, 'Mos1', 191)",0.0
"(1, 'Mos1', 192)",0.0
"(1, 'Mos1', 193)",0.0
"(1, 'Mos1', 194)",0.0
"(1, 'Mos1', 195)",0.0
"(1, 'Mos1', 196)",0.0
"(1, 'Mos1', 197)",0.0
"(1, 'Mos1', 198)",0.0
"(1, 'Mos1', 199)",0.0
"(1, 'Mos1', 200)",0.0
"(1, 'Mos1', 201)",0.0
"(1, 'Mos1', 202)",0.0
"(1, 'Mos1', 203)",0.0
"(1, 'Mos1', 204)",0.0
"(1, 'Mos1', 205)",0.0
"(1, 'Mos1', 206)",0.0
"(1, 'Mos1', 207)",0.0
"(1, 'Mos1', 208)",0.0
"(1, 'Mos1', 209)",0.0
"(1, 'Mos1', 210)",0.0
"(1, 'Mos1', 211)",0.0
"(1, 'Mos1', 212)",0.0
"(1, 'Mos1', 213)",0.0
"(1, 'Mos1', 214)",0.0
"(1, 'Mos1', 215)",0.0
"(1, 'Mos1', 216)",0.0
"(1, 'Mos1', 217)",0.0
"(1, 'Mos1', 218)",0.0
"(1, 'Mos1', 219)",0.0
"(1, 'Mos1', 220)",0.0
