Time,Station,Wharf
06:20,Barangaroo,Bar1
06:42,Blackwattle Bay,BWB1
07:13,Barangaroo,Bar4
06:50,Barangaroo,Bar1
07:12,Blackwattle Bay,BWB1
07:43,Barangaroo,Bar1
07:20,Barangaroo,Bar1
07:42,Blackwattle Bay,BWB1
08:13,Barangaroo,Bar4
07:50,Barangaroo,Bar1
08:12,Blackwattle Bay,BWB1
08:43,Barangaroo,Bar1
08:20,Barangaroo,Bar1
08:42,Blackwattle Bay,BWB1
09:13,Barangaroo,Bar5
08:50,Barangaroo,Bar1
09:12,Blackwattle Bay,BWB1
09:43,Barangaroo,Bar1
09:20,Barangaroo,Bar1
09:42,Blackwattle Bay,BWB1
10:13,Barangaroo,Bar2
