Time,Station,Wharf
06:00,Circular Quay,CQ1
06:14,Neutral Bay,NB1
06:27,Circular Quay,CQ3
06:30,Circular Quay,CQ1
06:44,Neutral Bay,NB1
06:57,Circular Quay,CQ4
07:00,Circular Quay,CQ1
07:14,Neutral Bay,NB1
07:27,Circular Quay,CQ1
07:30,Circular Quay,CQ1
07:44,Neutral Bay,NB1
07:57,Circular Quay,CQ1
08:00,Circular Quay,CQ1
08:14,Neutral Bay,NB1
08:27,Circular Quay,CQ3
08:30,Circular Quay,CQ1
08:44,Neutral Bay,NB1
08:57,Circular Quay,CQ1
09:00,Circular Quay,CQ1
09:14,Neutral Bay,NB1
09:27,Circular Quay,CQ4
09:30,Circular Quay,CQ1
09:44,Neutral Bay,NB1
09:57,Circular Quay,CQ2
10:00,Circular Quay,CQ1
10:14,Neutral Bay,NB1
10:27,Circular Quay,CQ2
