Time,Station,Wharf
6:25,Barangaroo,Bar1
6:38,Blackwattle Bay,BWB1
7:03,Barangaroo,Bar1
6:55,Barangaroo,Bar1
7:08,Blackwattle Bay,BWB1
7:33,Barangaroo,Bar1
7:25,Barangaroo,Bar1
7:38,Blackwattle Bay,BWB1
8:03,Barangaroo,Bar1
7:55,Barangaroo,Bar1
8:08,Blackwattle Bay,BWB1
8:33,Barangaroo,Bar1
8:25,Barangaroo,Bar1
8:38,Blackwattle Bay,BWB1
9:03,Barangaroo,Bar1
8:55,Barangaroo,Bar1
9:08,Blackwattle Bay,BWB1
9:33,Barangaroo,Bar1
9:25,Barangaroo,Bar1
9:38,Blackwattle Bay,BWB1
10:03,Barangaroo,Bar1
