Time,Station,Wharf
06:00,Circular Quay,CQ2
06:20,Mosman,Mos1
06:51,Circular Quay,CQ1
06:30,Circular Quay,CQ2
06:50,Mosman,Mos1
07:21,Circular Quay,CQ1
07:00,Circular Quay,CQ2
07:20,Mosman,Mos1
07:51,Circular Quay,CQ2
07:30,Circular Quay,CQ2
07:50,Mosman,Mos1
08:21,Circular Quay,CQ1
08:00,Circular Quay,CQ2
08:20,Mosman,Mos1
08:51,Circular Quay,CQ2
08:30,Circular Quay,CQ2
08:50,Mosman,Mos1
09:21,Circular Quay,CQ1
09:00,Circular Quay,CQ2
09:20,Mosman,Mos1
09:51,Circular Quay,CQ1
09:30,Circular Quay,CQ2
09:50,Mosman,Mos1
10:21,Circular Quay,CQ2
10:00,Circular Quay,CQ2
10:20,Mosman,Mos1
10:51,Circular Quay,CQ2
