Vessel,Task,Wharf,Time
V18,Waiting,CQ3,05:40-05:45
V13,Crew pause,CQ3,06:15-06:20
V13,Crew pause,CQ3,06:20-06:25
V1,Waiting,CQ3,07:05-07:10
V6,Waiting,CQ3,07:05-07:10
V5,Waiting,CQ3,07:15-07:20
V4,Waiting,CQ3,07:25-07:30
V8,F2 - Taronga Zoo,CQ3,07:25-07:30
V10,Crew pause,CQ3,07:35-07:40
V10,Crew pause,CQ3,07:40-07:45
V9,F6 - Mosman,CQ3,07:55-08:00
V2,F6 - Mosman,CQ3,08:25-08:30
V10,Waiting,CQ3,08:35-08:40
V6,F5 - Neutral Bay,CQ3,08:45-08:50
V3,F2 - Taronga Zoo,CQ3,08:55-09:00
V1,Waiting,CQ3,09:00-09:05
V3,Waiting,CQ3,09:05-09:10
V13,Waiting,CQ3,09:20-09:25
V6,F2 - Taronga Zoo,CQ3,09:25-09:30
V5,Waiting,CQ3,09:30-09:35
V17,F9 - Rose Bay,CQ3,09:35-09:40
V6,Waiting,CQ3,10:20-10:25
V12,Waiting,CQ3,10:25-10:30
V5,Waiting,CQ3,10:30-10:35
V12,Crew pause,CQ3,10:45-10:50
V12,Crew pause,CQ3,10:50-10:55
V17,Waiting,CQ3,10:55-11:00
V12,Waiting,CQ3,10:55-11:00
V13,Crew pause,CQ3,11:00-11:05
V10,Crew pause,CQ3,11:00-11:05
V13,Crew pause,CQ3,11:05-11:10
V10,Crew pause,CQ3,11:05-11:10
V16,Waiting,CQ3,11:25-11:30
V17,Waiting,CQ3,11:25-11:30
