Variable,Value
"(1, 'CQ4NL', 32)",0
"(1, 'CQ4NL', 33)",0
"(1, 'CQ4NL', 34)",0
"(1, 'CQ4NL', 35)",0
"(1, 'CQ4NL', 36)",0
"(1, 'CQ4NL', 37)",0
"(1, 'CQ4NL', 38)",0
"(1, 'CQ4NL', 39)",0
"(1, 'CQ4NL', 40)",0
"(1, 'CQ4NL', 41)",0
"(1, 'CQ4NL', 42)",0
"(1, 'CQ4NL', 43)",0
"(1, 'CQ4NL', 44)",0
"(1, 'CQ4NL', 45)",0
"(1, 'CQ4NL', 46)",0
"(1, 'CQ4NL', 47)",0
"(1, 'CQ4NL', 48)",0
"(1, 'CQ4NL', 49)",0
"(1, 'CQ4NL', 50)",0
"(1, 'CQ4NL', 51)",1
"(1, 'CQ4NL', 52)",0
"(1, 'CQ4NL', 53)",0
"(1, 'CQ4NL', 54)",0
"(1, 'CQ4NL', 55)",0
"(1, 'CQ4NL', 56)",0
"(1, 'CQ4NL', 57)",0
"(1, 'CQ4NL', 58)",0
"(1, 'CQ4NL', 59)",0
"(1, 'CQ4NL', 60)",0
"(1, 'CQ4NL', 61)",0
"(1, 'CQ4NL', 62)",0
"(1, 'CQ4NL', 63)",0
"(1, 'CQ4NL', 64)",0
"(1, 'CQ4NL', 65)",0
"(1, 'CQ4NL', 66)",0
"(1, 'CQ4NL', 67)",0
"(1, 'CQ4NL', 68)",0
"(1, 'CQ4NL', 69)",0
"(1, 'CQ4NL', 70)",0
"(1, 'CQ4NL', 71)",0
"(1, 'CQ4NL', 72)",0
"(1, 'CQ4', 1)",0
"(1, 'CQ4', 2)",0
"(1, 'CQ4', 3)",0
"(1, 'CQ4', 4)",0
"(1, 'CQ4', 5)",0
"(1, 'CQ4', 6)",0
"(1, 'CQ4', 7)",0
"(1, 'CQ4', 8)",0
"(1, 'CQ4', 9)",0
"(1, 'CQ4', 10)",0
"(1, 'CQ4', 11)",0
"(1, 'CQ4', 12)",0
"(1, 'CQ4', 13)",0
"(1, 'CQ4', 14)",0
"(1, 'CQ4', 15)",0
"(1, 'CQ4', 16)",0
"(1, 'CQ4', 17)",0
