Task,Time,Battery_Level
,05:30,1.0
Rebalancing,05:35,0.9394
Rebalancing,05:40,0.8788
BSY6,05:45,0.8788
Rebalancing,05:50,0.8182
Rebalancing,05:55,0.7576
Rebalancing,06:00,0.6970000000000001
11 cont.,06:05,0.6920000000000001
11 cont.,06:10,0.687
11 cont.,06:15,0.682
11 cont.,06:20,0.677
11 cont.,06:25,0.672
11 cont.,06:30,0.667
11 cont.,06:35,0.662
11 cont.,06:40,0.657
11 cont.,06:45,0.652
11 cont.,06:50,0.647
11 cont.,06:55,0.642
phi_CQ2,07:00,0.77
11 cont.,07:05,0.765
11 cont.,07:10,0.76
11 cont.,07:15,0.755
11 cont.,07:20,0.75
11 cont.,07:25,0.745
11 cont.,07:30,0.74
11 cont.,07:35,0.735
11 cont.,07:40,0.73
11 cont.,07:45,0.725
11 cont.,07:50,0.72
11 cont.,07:55,0.715
phi_CQ4,08:00,0.843
CQ4,08:05,1.0
CQ4,08:10,1.0
phi_CQ4,08:15,1.0
6 cont.,08:20,0.986
6 cont.,08:25,0.972
6 cont.,08:30,0.958
6 cont.,08:35,0.944
6 cont.,08:40,0.9299999999999999
6 cont.,08:45,0.9159999999999999
6 cont.,08:50,0.9019999999999999
6 cont.,08:55,0.8879999999999999
6 cont.,09:00,0.8739999999999999
6 cont.,09:05,0.8599999999999999
6 cont.,09:10,0.8459999999999999
6 cont.,09:15,0.8319999999999999
6 cont.,09:20,0.8179999999999998
6 cont.,09:25,0.8039999999999998
6 cont.,09:30,0.7899999999999998
phi_CQEXTRA1,09:35,0.9179999999999998
4 cont.,09:40,0.9119999999999998
4 cont.,09:45,0.9059999999999998
4 cont.,09:50,0.8999999999999998
4 cont.,09:55,0.8939999999999998
4 cont.,10:00,0.8879999999999998
4 cont.,10:05,0.8819999999999998
4 cont.,10:10,0.8759999999999998
4 cont.,10:15,0.8699999999999998
4 cont.,10:20,0.8639999999999998
4 cont.,10:25,0.8579999999999998
4 cont.,10:30,0.8519999999999998
phi_CQ5,10:35,0.9799999999999998
Rebalancing,10:40,0.9193999999999998
Rebalancing,10:45,0.8587999999999998
Bar5,10:50,0.8587999999999998
Rebalancing,10:55,0.7981999999999998
Rebalancing,11:00,0.7375999999999998
cp_CQ5 cont.,11:05,0.7375999999999998
cp_CQ5 cont.,11:10,0.7375999999999998
cp_CQ5 cont.,11:15,0.7375999999999998
cp_CQ5 cont.,11:20,0.7375999999999998
cp_CQ5 cont.,11:25,0.7375999999999998
cp_CQ5 cont.,11:30,0.7375999999999998
