Vessel,Time,Value
V19,05:30,0.9697
V19,05:35,1.0
V19,05:40,1.0
V19,05:45,0.9697000000000002
V19,05:50,0.9394000000000003
V19,05:55,0.9091000000000008
V19,06:00,0.9091000000000012
V19,06:05,0.9091000000000016
V19,06:10,0.909100000000002
V19,06:15,0.9091000000000024
V19,06:20,0.9091000000000028
V19,06:25,0.9091000000000032
V19,06:30,0.8788000000000036
V19,06:35,0.8485000000000038
V19,06:40,0.9757000000000042
V19,06:45,0.9757000000000048
V19,06:50,1.0
V19,06:55,1.0
V19,07:00,0.9858279220000004
V19,07:05,0.9716558440000008
V19,07:10,0.9574837660000012
V19,07:15,0.9433116880000014
V19,07:20,0.9291396100000018
V19,07:25,0.9291396100000022
V19,07:30,0.9291396100000028
V19,07:35,0.9291396100000032
V19,07:40,0.9149675320000036
V19,07:45,0.9007954540000038
V19,07:50,0.8866233760000042
V19,07:55,0.8866233760000046
V19,08:00,0.872451298000005
V19,08:05,0.8582792200000053
V19,08:10,0.8441071420000057
V19,08:15,0.829935064000006
V19,08:20,0.8157629860000064
V19,08:25,0.8157629860000069
V19,08:30,0.8157629860000073
V19,08:35,0.7770928579999872
V19,08:40,0.7629207799999875
V19,08:45,0.7487487019999879
V19,08:50,0.7345766239999882
V19,08:55,0.7345766239999887
V19,09:00,0.720404545999989
V19,09:05,0.7062324679999894
V19,09:10,0.6920603899999898
V19,09:15,0.6778883119999901
V19,09:20,0.6637162339999905
V19,09:25,0.6637162339999909
V19,09:30,0.6637162339999914
V19,09:35,0.6637162339999918
V19,09:40,0.6495441559999922
V19,09:45,0.6353720779999925
V19,09:50,0.6211999999999929
V19,09:55,0.6211999999999933
V19,10:00,0.6211999999999938
V19,10:05,0.6211999999999942
V19,10:10,0.6211999999999946
V19,10:15,0.6211999999999951
V19,10:20,0.6211999999999955
V19,10:25,0.621199999999996
V19,10:30,0.6211999999999964
V19,10:35,0.5908999999999967
V19,10:40,0.5605999999999969
V19,10:45,0.5605999999999973
V19,10:50,0.5605999999999978
V19,10:55,0.5605999999999982
V19,11:00,0.5605999999999987
V19,11:05,0.5605999999999991
V19,11:10,0.5605999999999995
V19,11:15,0.5302999999999998
V19,11:20,0.5
V19,11:25,0.5
