Vessel,Task,Wharf,Time
RR8,Charging,CI1,10:50-10:55
RR3,Charging,CI1,10:50-10:55
EC1,Charging,CI1,10:55-11:00
RR4,Charging,CI1,10:55-11:00
RR8,Charging,CI1,10:55-11:00
EC5,Charging,CI1,10:55-11:00
RR3,Charging,CI1,10:55-11:00
EC1,Charging,CI1,11:00-11:05
EC5,Waiting,CI1,11:00-11:05
RR8,Charging,CI1,11:00-11:05
RR3,Charging,CI1,11:00-11:05
RR4,Charging,CI1,11:00-11:05
RR3,Waiting,CI1,11:05-11:10
RR4,Charging,CI1,11:05-11:10
EC1,Charging,CI1,11:05-11:10
RR8,Charging,CI1,11:05-11:10
EC5,Waiting,CI1,11:05-11:10
RR8,Charging,CI1,11:10-11:15
EC1,Charging,CI1,11:10-11:15
RR3,Charging,CI1,11:10-11:15
RR4,Charging,CI1,11:10-11:15
RR8,Charging,CI1,11:15-11:20
EC1,Charging,CI1,11:15-11:20
RR3,Charging,CI1,11:15-11:20
RR4,Charging,CI1,11:15-11:20
RR3,Waiting,CI1,11:20-11:25
RR8,Waiting,CI1,11:20-11:25
EC1,Waiting,CI1,11:20-11:25
RR4,Waiting,CI1,11:20-11:25
RR3,Charging,CI1,11:25-11:30
RR8,Waiting,CI1,11:25-11:30
EC1,Waiting,CI1,11:25-11:30
RR4,Waiting,CI1,11:25-11:30
