Time,Station,Wharf
06:15,Circular Quay,CQ5
06:45,Cockatoo Island,CI1
07:24,Circular Quay,CQ4
06:45,Circular Quay,CQ5
07:15,Cockatoo Island,CI1
07:54,Circular Quay,CQ2
07:15,Circular Quay,CQ5
07:45,Cockatoo Island,CI1
08:24,Circular Quay,CQ2
07:45,Circular Quay,CQ5
08:15,Cockatoo Island,CI1
08:54,Circular Quay,CQ1
08:15,Circular Quay,CQ5
08:45,Cockatoo Island,CI1
09:24,Circular Quay,CQ2
08:45,Circular Quay,CQ5
09:15,Cockatoo Island,CI1
09:54,Circular Quay,CQ2
09:15,Circular Quay,CQ5
09:45,Cockatoo Island,CI1
10:24,Circular Quay,CQ4
09:45,Circular Quay,CQ5
10:15,Cockatoo Island,CI1
10:54,Circular Quay,CQ1
