Wharf,Berth,Wharf_No
Circular Quay,2A,CQ2
Circular Quay,2B,CQ2
Circular Quay,4A,CQ4
Circular Quay,4B,CQ4
Circular Quay,5A,CQ5
Circular Quay,5B,CQ5
Barangaroo,1A,Bar1
Barangaroo,1B,Bar1
Barangaroo,2A,Bar2
Barangaroo,2B,Bar2
Chiswick,A,Chs1
Cabarita,A,Cab1
Syd Olym Pk,A,SOP1
Syd Olym Pk,B,SOP1
Parramatta,A,Pm1
Watsons Bay,A,WB1
Rose Bay,A,RB1
Cockatoo Is,A,CI1
Pyrmont Bay,A,PB1
