Task,Time,Battery_Level
,05:30,1.0
Rebalancing,05:35,0.9394
cp_Bar1 cont.,05:40,0.9394
cp_Bar1 cont.,05:45,0.9394
cp_Bar1 cont.,05:50,0.9394
cp_Bar1 cont.,05:55,0.9394
cp_Bar1 cont.,06:00,0.9394
cp_Bar1 cont.,06:05,0.9394
phi_Bar2,06:10,1.0
cp_Bar1 cont.,06:15,1.0
cp_Bar1 cont.,06:20,1.0
cp_Bar1 cont.,06:25,1.0
cp_Bar1 cont.,06:30,1.0
cp_Bar1 cont.,06:35,1.0
cp_Bar1 cont.,06:40,1.0
phi_Bar2,06:45,1.0
phi_Bar2,06:50,1.0
cp_Bar5 cont.,06:55,1.0
cp_Bar5 cont.,07:00,1.0
cp_Bar5 cont.,07:05,1.0
cp_Bar5 cont.,07:10,1.0
cp_Bar5 cont.,07:15,1.0
cp_Bar5 cont.,07:20,1.0
Bar5,07:25,1.0
Bar5,07:30,1.0
Bar5,07:35,1.0
Rebalancing,07:40,0.9394
Rebalancing,07:45,0.8788
CQ3,07:50,0.8788
CQ3,07:55,0.8788
CQ3,08:00,0.8788
CQ3,08:05,0.8788
CQ3,08:10,0.8788
1 cont.,08:15,0.8848
1 cont.,08:20,0.8908
1 cont.,08:25,0.8968
1 cont.,08:30,0.9028
1 cont.,08:35,0.9088
1 cont.,08:40,0.9148000000000001
1 cont.,08:45,0.9208000000000001
1 cont.,08:50,0.9268000000000001
phi_CQ4,08:55,1.0
5 cont.,09:00,0.994
5 cont.,09:05,0.988
5 cont.,09:10,0.982
5 cont.,09:15,0.976
5 cont.,09:20,0.97
5 cont.,09:25,0.964
5 cont.,09:30,0.958
5 cont.,09:35,0.952
5 cont.,09:40,0.946
5 cont.,09:45,0.94
CQ3,09:50,0.94
CQ3,09:55,0.94
CQ3,10:00,0.94
CQ3,10:05,0.94
3 cont.,10:10,0.9049999999999999
3 cont.,10:15,0.8699999999999999
3 cont.,10:20,0.8349999999999999
3 cont.,10:25,0.7999999999999998
3 cont.,10:30,0.7649999999999998
3 cont.,10:35,0.7299999999999998
phi_CQ2,10:40,0.8579999999999998
phi_CQ2,10:45,0.9859999999999998
phi_CQ2,10:50,1.0
cp_CQ5 cont.,10:55,1.0
cp_CQ5 cont.,11:00,1.0
cp_CQ5 cont.,11:05,1.0
cp_CQ5 cont.,11:10,1.0
cp_CQ5 cont.,11:15,1.0
cp_CQ5 cont.,11:20,1.0
phi_CQ5,11:25,1.0
phi_CQ5,11:30,1.0
