Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
V19,Waiting,Balmain Shipyard,BSY5,05:35,Balmain Shipyard,BSY5,05:40
V19,Crew pause,Barangaroo,Bar1,05:50,Barangaroo,Bar1,06:00
V19,Waiting,Barangaroo,Bar2,06:00,Barangaroo,Bar2,06:05
V19,Waiting,Barangaroo,Bar1,06:05,Barangaroo,Bar1,06:10
V19,Waiting,Barangaroo,Bar4,06:10,Barangaroo,Bar4,06:15
V19,Waiting,Barangaroo,Bar2,06:15,Barangaroo,Bar2,06:20
V19,F11 - Blackwattle Bay,Barangaroo,Bar1,06:20,Barangaroo,Bar1,07:00
V19,Waiting,Pyrmont Bay,PB1,07:05,Pyrmont Bay,PB1,07:10
V19,Waiting,Barangaroo,Bar2,07:15,Barangaroo,Bar2,07:20
V19,F11 - Blackwattle Bay,Barangaroo,Bar1,07:20,Barangaroo,Bar2,08:00
V19,Waiting,Barangaroo,Bar1,08:00,Barangaroo,Bar1,08:05
V19,Charging,Barangaroo,Bar1,08:05,Barangaroo,Bar1,08:10
V19,Waiting,Barangaroo,Bar1,08:10,Barangaroo,Bar1,08:15
V19,Waiting,Barangaroo,Bar1,08:15,Barangaroo,Bar1,08:20
V19,F11 - Blackwattle Bay,Barangaroo,Bar1,08:20,Barangaroo,Bar1,09:00
V19,Waiting,Barangaroo,Bar2,09:00,Barangaroo,Bar2,09:05
V19,Waiting,Barangaroo,Bar4,09:05,Barangaroo,Bar4,09:10
V19,Waiting,Barangaroo,Bar1,09:10,Barangaroo,Bar1,09:15
V19,Waiting,Barangaroo,Bar2,09:15,Barangaroo,Bar2,09:20
V19,F11 - Blackwattle Bay,Barangaroo,Bar1,09:20,Barangaroo,Bar1,10:00
V19,Crew pause,Barangaroo,Bar2,10:00,Barangaroo,Bar2,10:10
V19,Waiting,Barangaroo,Bar1,10:10,Barangaroo,Bar1,10:15
V19,Waiting,Barangaroo,Bar4,10:15,Barangaroo,Bar4,10:20
V19,Waiting,Circular Quay,CQ5,10:30,Circular Quay,CQ5,10:35
V19,Waiting,Circular Quay,CQ2,10:35,Circular Quay,CQ2,10:40
V19,Crew pause,Barangaroo,Bar2,10:50,Barangaroo,Bar2,11:00
V19,Waiting,Barangaroo,Bar1,11:00,Barangaroo,Bar1,11:05
V19,Waiting,Barangaroo,Bar2,11:05,Barangaroo,Bar2,11:10
V19,Waiting,Balmain Shipyard,BSY6,11:20,Balmain Shipyard,BSY6,11:25
V19,Waiting,Balmain Shipyard,BSY6,11:25,Balmain Shipyard,BSY6,11:30
