Time,Station,Wharf
05:45,Circular Quay,CQ2
05:59,Neutral Bay,NB1
06:12,Circular Quay,CQ3
06:15,Circular Quay,CQ2
06:29,Neutral Bay,NB1
06:42,Circular Quay,CQ1
06:45,Circular Quay,CQ2
06:59,Neutral Bay,NB1
07:12,Circular Quay,CQ3
07:15,Circular Quay,CQ2
07:29,Neutral Bay,NB1
07:42,Circular Quay,CQ1
07:45,Circular Quay,CQ2
07:59,Neutral Bay,NB1
08:12,Circular Quay,CQ1
08:15,Circular Quay,CQ2
08:29,Neutral Bay,NB1
08:42,Circular Quay,CQ3
08:45,Circular Quay,CQ2
08:59,Neutral Bay,NB1
09:12,Circular Quay,CQ1
09:15,Circular Quay,CQ2
09:29,Neutral Bay,NB1
09:42,Circular Quay,CQ1
09:45,Circular Quay,CQ2
09:59,Neutral Bay,NB1
10:12,Circular Quay,CQ3
