Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
RR5,Crew pause,Balmain Shipyard,BSY2,06:20,Balmain Shipyard,BSY2,06:29
RR5,Waiting,Balmain Shipyard,BSY5,06:30,Balmain Shipyard,BSY5,06:35
RR5,Waiting,Cabarita,Cab1,06:55,Cabarita,Cab1,07:00
RR5,Waiting,Cabarita,Cab1,07:00,Cabarita,Cab1,07:05
RR5,Waiting,Cabarita,Cab1,07:05,Cabarita,Cab1,07:10
RR5,Waiting,Cabarita,Cab1,07:10,Cabarita,Cab1,07:15
RR5,Waiting,Chiswick,Chs1,07:25,Chiswick,Chs1,07:30
RR5,Waiting,Parramatta,Pm1,08:15,Parramatta,Pm1,08:20
RR5,Waiting,Parramatta,Pm1,08:20,Parramatta,Pm1,08:25
RR5,6,Parramatta,Pm1,08:30,Circular Quay,CQ3,10:00
RR5,Waiting,Circular Quay,CQ3,10:10,Circular Quay,CQ3,10:15
RR5,Waiting,Circular Quay,CQ3,10:15,Circular Quay,CQ3,10:20
RR5,Crew pause,Circular Quay,CQ2,10:20,Circular Quay,CQ2,10:29
RR5,Crew pause,Circular Quay,CQ5,10:30,Circular Quay,CQ5,10:39
RR5,Waiting,Cockatoo Island,CI1,10:55,Cockatoo Island,CI1,11:00
RR5,Waiting,Cockatoo Island,CI1,11:00,Cockatoo Island,CI1,11:05
RR5,Waiting,Barangaroo,Bar4,11:20,Barangaroo,Bar4,11:25
RR5,Waiting,Barangaroo,Bar2,11:25,Barangaroo,Bar2,11:30
