Vessel,Task,Start_Station,Start_Wharf,Start_Time,End_Station,End_Wharf,End_Time
RR3,Waiting,Cabarita,Cab1,05:35,Cabarita,Cab1,05:40
RR3,Waiting,Cabarita,Cab1,05:40,Cabarita,Cab1,05:45
RR3,Waiting,Cabarita,Cab1,05:45,Cabarita,Cab1,05:50
RR3,Waiting,Cabarita,Cab1,05:50,Cabarita,Cab1,05:55
RR3,Waiting,Cabarita,Cab1,05:55,Cabarita,Cab1,06:00
RR3,Waiting,Cabarita,Cab1,06:00,Cabarita,Cab1,06:05
RR3,Waiting,Cabarita,Cab1,06:05,Cabarita,Cab1,06:10
RR3,16,Circular Quay,CQ1,06:35,Watsons Bay,WB1,07:05
RR3,Waiting,Watsons Bay,WB1,07:10,Watsons Bay,WB1,07:15
RR3,17,Watsons Bay,WB1,07:20,Circular Quay,CQ4,07:40
RR3,Waiting,Rose Bay,RB1,08:05,Rose Bay,RB1,08:10
RR3,Waiting,Rose Bay,RB1,08:10,Rose Bay,RB1,08:15
RR3,Waiting,Rose Bay,RB1,08:15,Rose Bay,RB1,08:20
RR3,Waiting,Circular Quay,CQ4,08:35,Circular Quay,CQ4,08:40
RR3,Waiting,Circular Quay,CQ5,08:40,Circular Quay,CQ5,08:45
RR3,Waiting,Circular Quay,CQ4,08:45,Circular Quay,CQ4,08:50
RR3,Waiting,Circular Quay,CQ4,08:50,Circular Quay,CQ4,08:55
RR3,Waiting,Circular Quay,CQ4,08:55,Circular Quay,CQ4,09:00
RR3,Waiting,Circular Quay,CQ4,09:00,Circular Quay,CQ4,09:05
RR3,Waiting,Circular Quay,CQ5,09:05,Circular Quay,CQ5,09:10
RR3,Waiting,Circular Quay,CQ5,09:10,Circular Quay,CQ5,09:15
RR3,Crew pause,Circular Quay,CQ3,09:15,Circular Quay,CQ3,09:24
RR3,Waiting,Circular Quay,CQ2,09:25,Circular Quay,CQ2,09:30
RR3,Waiting,Circular Quay,CQ4,09:30,Circular Quay,CQ4,09:35
RR3,Waiting,Circular Quay,CQ4,09:35,Circular Quay,CQ4,09:40
RR3,Waiting,Circular Quay,CQ5,09:40,Circular Quay,CQ5,09:45
RR3,Waiting,Circular Quay,CQ4,09:45,Circular Quay,CQ4,09:50
RR3,Waiting,Pyrmont Bay,PB1,10:05,Pyrmont Bay,PB1,10:10
RR3,Crew pause,Barangaroo,Bar4,10:10,Barangaroo,Bar4,10:19
RR3,Waiting,Pyrmont Bay,PB1,10:20,Pyrmont Bay,PB1,10:25
RR3,Waiting,Barangaroo,Bar2,10:25,Barangaroo,Bar2,10:30
RR3,Waiting,Barangaroo,Bar2,10:30,Barangaroo,Bar2,10:35
RR3,Waiting,Barangaroo,Bar1,10:35,Barangaroo,Bar1,10:40
RR3,Waiting,Barangaroo,Bar4,10:40,Barangaroo,Bar4,10:45
RR3,Waiting,Barangaroo,Bar1,10:45,Barangaroo,Bar1,10:50
RR3,Waiting,Barangaroo,Bar1,10:50,Barangaroo,Bar1,10:55
RR3,Waiting,Barangaroo,Bar2,10:55,Barangaroo,Bar2,11:00
RR3,Waiting,Barangaroo,Bar2,11:00,Barangaroo,Bar2,11:05
RR3,Waiting,Barangaroo,Bar1,11:05,Barangaroo,Bar1,11:10
RR3,Waiting,Pyrmont Bay,PB1,11:10,Pyrmont Bay,PB1,11:15
RR3,Waiting,Pyrmont Bay,PB1,11:15,Pyrmont Bay,PB1,11:20
RR3,Waiting,Barangaroo,Bar1,11:20,Barangaroo,Bar1,11:25
RR3,Waiting,Pyrmont Bay,PB1,11:25,Pyrmont Bay,PB1,11:30
