Time,Station,Wharf
06:35,Barangaroo,Bar2
06:57,Blackwattle Bay,BWB1
07:28,Barangaroo,Bar4
07:05,Barangaroo,Bar2
07:27,Blackwattle Bay,BWB1
07:58,Barangaroo,Bar2
07:35,Barangaroo,Bar2
07:57,Blackwattle Bay,BWB1
08:28,Barangaroo,Bar5
08:05,Barangaroo,Bar2
08:27,Blackwattle Bay,BWB1
08:58,Barangaroo,Bar2
08:35,Barangaroo,Bar2
08:57,Blackwattle Bay,BWB1
09:28,Barangaroo,Bar1
09:05,Barangaroo,Bar2
09:27,Blackwattle Bay,BWB1
09:58,Barangaroo,Bar1
09:35,Barangaroo,Bar2
09:57,Blackwattle Bay,BWB1
10:28,Barangaroo,Bar5
