Time,Station,Wharf
07:40,Parramatta,Pm1
08:55,Barangaroo,Bar2
09:06,Circular Quay,CQ4
08:05,Parramatta,Pm1
09:20,Barangaroo,Bar2
09:31,Circular Quay,CQ3
08:30,Parramatta,Pm1
09:45,Barangaroo,Bar2
09:56,Circular Quay,CQ3
08:55,Parramatta,Pm1
10:10,Barangaroo,Bar2
10:21,Circular Quay,CQ3
