Vessel,Time,Value
V12,05:30,0.9697
V12,05:35,0.9393999999999998
V12,05:40,0.9090999999999996
V12,05:45,0.8787999999999994
V12,05:50,0.8787999999999994
V12,05:55,1.0
V12,06:00,0.983997326
V12,06:05,0.967994652
V12,06:10,0.951991978
V12,06:15,0.935989304
V12,06:20,0.91998663
V12,06:25,0.903983956
V12,06:30,0.903983956
V12,06:35,0.903983956
V12,06:40,0.903983956
V12,06:45,0.887981282
V12,06:50,0.871978608
V12,06:55,0.855975934
V12,07:00,0.83997326
V12,07:05,0.83997326
V12,07:10,0.9671732599999998
V12,07:15,0.939601198
V12,07:20,0.912029136
V12,07:25,0.884457074
V12,07:30,0.884457074
V12,07:35,0.884457074
V12,07:40,0.884457074
V12,07:45,0.856885012
V12,07:50,0.82931295
V12,07:55,0.82931295
V12,08:00,0.813310276
V12,08:05,0.7973076020000001
V12,08:10,0.7813049280000001
V12,08:15,0.7653022540000001
V12,08:20,0.7492995800000001
V12,08:25,0.7332969060000001
V12,08:30,0.7332969060000001
V12,08:35,0.7332969060000001
V12,08:40,0.7332969060000001
V12,08:45,0.7172942320000001
V12,08:50,0.7012915580000001
V12,08:55,0.6852888840000001
V12,09:00,0.6692862100000001
V12,09:05,0.6692862100000001
V12,09:10,0.6532835360000001
V12,09:15,0.6372808620000001
V12,09:20,0.6212781880000001
V12,09:25,0.6052755140000001
V12,09:30,0.5892728400000001
V12,09:35,0.5732701660000001
V12,09:40,0.5732701660000001
V12,09:45,0.5732701660000001
V12,09:50,0.5732701660000001
V12,09:55,0.5572674920000001
V12,10:00,0.5412648180000001
V12,10:05,0.5252621440000002
V12,10:10,0.5092594700000002
V12,10:15,0.5092594700000002
V12,10:20,0.5092594700000002
V12,10:25,0.5092594700000002
V12,10:30,0.5092594700000002
V12,10:35,0.5092594700000002
V12,10:40,0.5092594700000002
V12,10:45,0.5092594700000002
V12,10:50,0.5092594700000002
V12,10:55,0.5092594700000002
V12,11:00,0.5092594700000002
V12,11:05,0.5
V12,11:10,0.5
V12,11:15,0.5
V12,11:20,0.5
V12,11:25,0.5
