Vessel,Task,Wharf,Time
V3,Waiting,Bar1,05:35-05:40
V9,Waiting,Bar1,05:35-05:40
V3,Waiting,Bar1,05:40-05:45
V14,Waiting,Bar1,05:55-06:00
V14,Waiting,Bar1,06:00-06:05
V12,Waiting,Bar1,06:05-06:10
V1,Waiting,Bar1,06:05-06:10
V12,Waiting,Bar1,06:15-06:20
V5,Waiting,Bar1,06:25-06:30
V19,Waiting,Bar1,06:35-06:40
V19,Waiting,Bar1,06:50-06:55
V3,Waiting,Bar1,07:25-07:30
V3,Waiting,Bar1,08:10-08:15
V3,Charging,Bar1,08:15-08:20
V3,Waiting,Bar1,08:20-08:25
V4,Waiting,Bar1,08:25-08:30
V3,Waiting,Bar1,08:30-08:35
V19,F11 - Blackwattle Bay,Bar1,08:53-08:56
V7,Waiting,Bar1,09:15-09:20
V18,F11 - Blackwattle Bay,Bar1,09:23-09:26
V10,Waiting,Bar1,10:15-10:20
V15,Waiting,Bar1,10:40-10:45
V17,Waiting,Bar1,10:50-10:55
V17,Crew Break,Bar1,10:55-11:25
V18,Waiting,Bar1,11:00-11:05
V5,Waiting,Bar1,11:25-11:30
