Task,Time,Battery_Level
,05:30,1.0
Rebalancing,05:35,0.9394
Rebalancing,05:40,0.8788
BSY2,05:45,0.8788
BSY2,05:50,0.8788
Rebalancing,05:55,0.8182
Rebalancing,06:00,0.7576
phi_Bar1,06:05,0.8856
Rebalancing,06:10,0.8250000000000001
Rebalancing,06:15,0.7644000000000001
5 cont.,06:20,0.7584000000000001
5 cont.,06:25,0.7524000000000001
5 cont.,06:30,0.7464000000000001
5 cont.,06:35,0.7404000000000001
5 cont.,06:40,0.7344
5 cont.,06:45,0.7284
5 cont.,06:50,0.7224
5 cont.,06:55,0.7164
5 cont.,07:00,0.7104
5 cont.,07:05,0.7044
Rebalancing,07:10,0.6438
Rebalancing,07:15,0.5832
phi_Bar2,07:20,0.7112
Bar2,07:25,0.8712000000000001
Bar2,07:30,1.0
phi_Bar2,07:35,1.0
Rebalancing,07:40,0.9394
Rebalancing,07:45,0.8788
5 cont.,07:50,0.8728
5 cont.,07:55,0.8668
5 cont.,08:00,0.8608
5 cont.,08:05,0.8548
5 cont.,08:10,0.8488
5 cont.,08:15,0.8428
5 cont.,08:20,0.8368
5 cont.,08:25,0.8308
5 cont.,08:30,0.8248
5 cont.,08:35,0.8188
Rebalancing,08:40,0.7582
Rebalancing,08:45,0.6976
phi_Bar2,08:50,0.8256
phi_Bar2,08:55,0.9536
Rebalancing,09:00,0.893
Rebalancing,09:05,0.8324
1 cont.,09:10,0.8384
1 cont.,09:15,0.8444
1 cont.,09:20,0.8504
1 cont.,09:25,0.8564
1 cont.,09:30,0.8624
1 cont.,09:35,0.8684000000000001
1 cont.,09:40,0.8744000000000001
1 cont.,09:45,0.8804000000000001
6 cont.,09:50,0.8664000000000001
6 cont.,09:55,0.8524
6 cont.,10:00,0.8384
6 cont.,10:05,0.8244
6 cont.,10:10,0.8104
6 cont.,10:15,0.7964
6 cont.,10:20,0.7824
6 cont.,10:25,0.7684
6 cont.,10:30,0.7544
6 cont.,10:35,0.7404
6 cont.,10:40,0.7263999999999999
6 cont.,10:45,0.7123999999999999
6 cont.,10:50,0.6983999999999999
6 cont.,10:55,0.6843999999999999
6 cont.,11:00,0.6703999999999999
cp_CQEXTRA1 cont.,11:05,0.6703999999999999
cp_CQEXTRA1 cont.,11:10,0.6703999999999999
cp_CQEXTRA1 cont.,11:15,0.6703999999999999
cp_CQEXTRA1 cont.,11:20,0.6703999999999999
cp_CQEXTRA1 cont.,11:25,0.6703999999999999
cp_CQEXTRA1 cont.,11:30,0.6703999999999999
