Task,Time,Battery_Level
,05:30,1.0
Rebalancing,05:35,0.9394
phi_Bar1,05:40,1.0
phi_Bar1,05:45,1.0
phi_Bar1,05:50,1.0
phi_Bar1,05:55,1.0
phi_Bar1,06:00,1.0
cp_Bar1 cont.,06:05,1.0
cp_Bar1 cont.,06:10,1.0
cp_Bar1 cont.,06:15,1.0
cp_Bar1 cont.,06:20,1.0
cp_Bar1 cont.,06:25,1.0
cp_Bar1 cont.,06:30,1.0
Rebalancing,06:35,0.9394
Rebalancing,06:40,0.8788
10 cont.,06:45,0.8718
10 cont.,06:50,0.8648
10 cont.,06:55,0.8578
10 cont.,07:00,0.8508
10 cont.,07:05,0.8438
10 cont.,07:10,0.8368
10 cont.,07:15,0.8298
10 cont.,07:20,0.8228
10 cont.,07:25,0.8158
10 cont.,07:30,0.8088
10 cont.,07:35,0.8018
CQ1,07:40,0.8018
CQ1,07:45,0.8018
cp_CQ1 cont.,07:50,0.8018
cp_CQ1 cont.,07:55,0.8018
cp_CQ1 cont.,08:00,0.8018
cp_CQ1 cont.,08:05,0.8018
cp_CQ1 cont.,08:10,0.8018
cp_CQ1 cont.,08:15,0.8018
phi_CQ5,08:20,0.9298
11 cont.,08:25,0.9248
11 cont.,08:30,0.9198
11 cont.,08:35,0.9148
11 cont.,08:40,0.9097999999999999
11 cont.,08:45,0.9047999999999999
11 cont.,08:50,0.8997999999999999
11 cont.,08:55,0.8947999999999999
11 cont.,09:00,0.8897999999999999
11 cont.,09:05,0.8847999999999999
11 cont.,09:10,0.8797999999999999
11 cont.,09:15,0.8747999999999999
Rebalancing,09:20,0.8141999999999999
Rebalancing,09:25,0.7535999999999999
phi_Bar2,09:30,0.8815999999999999
phi_Bar2,09:35,1.0
phi_Bar2,09:40,1.0
Rebalancing,09:45,0.9394
Rebalancing,09:50,0.8788
phi_CQ4,09:55,1.0
5 cont.,10:00,0.994
5 cont.,10:05,0.988
5 cont.,10:10,0.982
5 cont.,10:15,0.976
5 cont.,10:20,0.97
5 cont.,10:25,0.964
5 cont.,10:30,0.958
5 cont.,10:35,0.952
5 cont.,10:40,0.946
5 cont.,10:45,0.94
1 cont.,10:50,0.946
1 cont.,10:55,0.952
1 cont.,11:00,0.958
1 cont.,11:05,0.964
1 cont.,11:10,0.97
1 cont.,11:15,0.976
1 cont.,11:20,0.982
1 cont.,11:25,0.988
phi_CQ2,11:30,1.0
