Vessel,Time,Value
V3,05:30,0.9394
V3,05:35,0.8787999999999998
V3,05:40,0.9243809590000002
V3,05:45,0.9243809590000002
V3,05:50,0.9243809590000002
V3,05:55,0.9243809590000002
V3,06:00,0.9243809590000002
V3,06:05,0.9243809589999988
V3,06:10,0.9243809589999988
V3,06:15,0.8637809589999987
V3,06:20,0.8031809589999989
V3,06:25,0.7922273049999988
V3,06:30,0.7812736509999988
V3,06:35,0.7703199969999988
V3,06:40,0.7593663429999987
V3,06:45,0.7593663429999987
V3,06:50,0.7593663429999987
V3,06:55,0.7593663429999987
V3,07:00,0.7484126889999987
V3,07:05,0.7374590349999987
V3,07:10,0.7265053809999986
V3,07:15,0.7265053809999986
V3,07:20,0.8537053809999989
V3,07:25,0.8427517269999989
V3,07:30,0.8317980729999989
V3,07:35,0.8208444189999988
V3,07:40,0.8098907649999988
V3,07:45,0.8098907649999988
V3,07:50,0.8098907649999988
V3,07:55,0.8098907649999988
V3,08:00,0.7989371109999988
V3,08:05,0.7879834569999987
V3,08:10,0.7770298029999987
V3,08:15,0.7770298029999987
V3,08:20,0.7581535399999987
V3,08:25,0.7392772769999987
V3,08:30,0.7204010139999987
V3,08:35,0.7015247509999987
V3,08:40,0.6826484879999987
V3,08:45,0.6637722249999987
V3,08:50,0.6637722249999987
V3,08:55,0.6637722249999987
V3,09:00,0.6637722249999987
V3,09:05,0.6448959619999987
V3,09:10,0.6260196989999987
V3,09:15,0.6071434359999986
V3,09:20,0.5882671729999986
V3,09:25,0.5693909099999986
V3,09:30,0.5693909099999986
V3,09:35,0.6965909099999994
V3,09:40,0.6965909100000001
V3,09:45,0.661681819
V3,09:50,0.626772728
V3,09:55,0.5918636369999999
V3,10:00,0.5918636369999999
V3,10:05,0.5569545459999998
V3,10:10,0.5220454549999999
V3,10:15,0.5176363639999999
V3,10:20,0.5132272729999999
V3,10:25,0.508818182
V3,10:30,0.508818182
V3,10:35,0.508818182
V3,10:40,0.508818182
V3,10:45,0.504409091
V3,10:50,0.5
V3,10:55,0.5
V3,11:00,0.5
V3,11:05,0.5
V3,11:10,0.5
V3,11:15,0.5
V3,11:20,0.5
V3,11:25,0.5
